date,weeklyRainDayCount,month,year
2013-10-06,5,10,2013
2013-10-13,2,10,2013
2013-10-20,5,10,2013
2013-10-27,5,10,2013
2013-11-03,2,11,2013
2013-11-10,3,11,2013
2013-11-17,3,11,2013
2013-11-24,2,11,2013
2013-12-01,1,12,2013
2013-12-08,1,12,2013
2013-12-15,0,12,2013
2013-12-22,4,12,2013
2013-12-29,0,12,2013
2014-01-05,0,1,2014
2014-01-12,2,1,2014
2014-01-19,1,1,2014
2014-01-26,0,1,2014
2014-02-02,1,2,2014
2014-02-09,0,2,2014
2014-02-16,0,2,2014
2014-02-23,1,2,2014
2014-03-02,1,3,2014
2014-03-09,0,3,2014
2014-03-16,1,3,2014
2014-03-23,2,3,2014
2014-03-30,2,3,2014
2014-04-06,1,4,2014
2014-04-13,3,4,2014
2014-04-20,3,4,2014
2014-04-27,4,4,2014
2014-05-04,5,5,2014
2014-05-11,1,5,2014
2014-05-18,5,5,2014
2014-05-25,2,5,2014
2014-06-01,2,6,2014
2014-06-08,3,6,2014
2014-06-15,3,6,2014
2014-06-22,1,6,2014
2014-06-29,4,6,2014
2014-07-06,4,7,2014
2014-07-13,3,7,2014
2014-07-20,5,7,2014
2014-07-27,2,7,2014
2014-08-03,3,8,2014
2014-08-10,1,8,2014
2014-08-17,4,8,2014
2014-08-24,3,8,2014
2014-08-31,1,8,2014
2014-09-07,4,9,2014
2014-09-14,4,9,2014
2014-09-21,3,9,2014
2014-09-28,0,9,2014
2014-10-05,4,10,2014
2014-10-12,3,10,2014
2014-10-19,7,10,2014
2014-10-26,3,10,2014
2014-11-02,3,11,2014
2014-11-09,3,11,2014
2014-11-16,1,11,2014
2014-11-23,2,11,2014
2014-11-30,2,11,2014
2014-12-07,0,12,2014
2014-12-14,1,12,2014
2014-12-21,3,12,2014
2014-12-28,3,12,2014
2015-01-04,2,1,2015
2015-01-11,0,1,2015
2015-01-18,1,1,2015
2015-01-25,1,1,2015
2015-02-01,1,2,2015
2015-02-08,1,2,2015
2015-02-15,0,2,2015
2015-02-22,0,2,2015
2015-03-01,0,3,2015
2015-03-08,1,3,2015
2015-03-15,0,3,2015
2015-03-22,3,3,2015
2015-03-29,2,3,2015
2015-04-05,3,4,2015
2015-04-12,4,4,2015
2015-04-19,2,4,2015
2015-04-26,3,4,2015
2015-05-03,2,5,2015
2015-05-10,3,5,2015
2015-05-17,3,5,2015
2015-05-24,0,5,2015
2015-05-31,4,5,2015
2015-06-07,1,6,2015
2015-06-14,3,6,2015
2015-06-21,2,6,2015
2015-06-28,4,6,2015
2015-07-05,2,7,2015
2015-07-12,2,7,2015
2015-07-19,3,7,2015
2015-07-26,0,7,2015
2015-08-02,0,8,2015
2015-08-09,2,8,2015
2015-08-16,2,8,2015
2015-08-23,3,8,2015
2015-08-30,2,8,2015
2015-09-06,2,9,2015
2015-09-13,3,9,2015
2015-09-20,1,9,2015
2015-09-27,0,9,2015
2015-10-04,2,10,2015
2015-10-11,2,10,2015
2015-10-18,3,10,2015
2015-10-25,4,10,2015
2015-11-01,3,11,2015
2015-11-08,3,11,2015
2015-11-15,4,11,2015
2015-11-22,2,11,2015
2015-11-29,1,11,2015
2015-12-06,3,12,2015
2015-12-13,2,12,2015
2015-12-20,4,12,2015
2015-12-27,5,12,2015
2016-01-03,3,1,2016
2016-01-10,3,1,2016
2016-01-17,1,1,2016
2016-01-24,0,1,2016
2016-01-31,3,1,2016
2016-02-07,2,2,2016
2016-02-14,1,2,2016
2016-02-21,1,2,2016
2016-02-28,2,2,2016
2016-03-06,2,3,2016
2016-03-13,4,3,2016
2016-03-20,4,3,2016
2016-03-27,4,3,2016
2016-04-03,3,4,2016
2016-04-10,2,4,2016
2016-04-17,2,4,2016
2016-04-24,1,4,2016
2016-05-01,2,5,2016
2016-05-08,1,5,2016
2016-05-15,3,5,2016
2016-05-22,1,5,2016
2016-05-29,2,5,2016
2016-06-05,3,6,2016
2016-06-12,4,6,2016
2016-06-19,2,6,2016
2016-06-26,0,6,2016
2016-07-03,3,7,2016
2016-07-10,2,7,2016
2016-07-17,2,7,2016
2016-07-24,1,7,2016
2016-07-31,4,7,2016
2016-08-07,0,8,2016
2016-08-14,3,8,2016
2016-08-21,3,8,2016
2016-08-28,3,8,2016
2016-09-04,0,9,2016
2016-09-11,3,9,2016
2016-09-18,3,9,2016
2016-09-25,0,9,2016
2016-10-02,5,10,2016
2016-10-09,1,10,2016
2016-10-16,3,10,2016
2016-10-23,4,10,2016
2016-10-30,5,10,2016
2016-11-06,1,11,2016
2016-11-13,1,11,2016
2016-11-20,2,11,2016
2016-11-27,4,11,2016
2016-12-04,7,12,2016
2016-12-11,1,12,2016
2016-12-18,2,12,2016
2016-12-25,2,12,2016
2017-01-01,1,1,2017
2017-01-08,2,1,2017
2017-01-15,3,1,2017
2017-01-22,4,1,2017
2017-01-29,4,1,2017
2017-02-05,0,2,2017
2017-02-12,3,2,2017
2017-02-19,0,2,2017
2017-02-26,4,2,2017
2017-03-05,2,3,2017
2017-03-12,2,3,2017
2017-03-19,0,3,2017
2017-03-26,4,3,2017
2017-04-02,3,4,2017
2017-04-09,4,4,2017
2017-04-16,5,4,2017
2017-04-23,3,4,2017
2017-04-30,3,4,2017
2017-05-07,6,5,2017
2017-05-14,4,5,2017
2017-05-21,3,5,2017
2017-05-28,4,5,2017
2017-06-04,2,6,2017
2017-06-11,1,6,2017
2017-06-18,2,6,2017
2017-06-25,6,6,2017
2017-07-02,5,7,2017
2017-07-09,1,7,2017
2017-07-16,3,7,2017
2017-07-23,2,7,2017
2017-07-30,1,7,2017
2017-08-06,5,8,2017
2017-08-13,1,8,2017
2017-08-20,2,8,2017
2017-08-27,2,8,2017
